Task,Date,Raaghul (hrs),Nicholas (hrs),Remarks
build: force-dynamic on public API routes to avoid database   connection at build time,2026-07-21,,,Author: raaghul
revert to original deployment build,2026-07-21,,,Author: raaghul
Update build dependency 3,2026-07-21,,,Author: raaghul
Update build for dependency again,2026-07-21,,,Author: raaghul
Update for deployment,2026-07-21,,,Author: raaghul
refactor: moving away from hover to click a node to see the edges,2026-07-20,,,Author: raaghul
fix: cleaned up edges for the focus mode,2026-07-19,,,Author: raaghul
refactor: layout issues for focus mode,2026-07-17,,,Author: raaghul
refactor: nodes to be shown in focus mode,2026-07-16,,,Author: raaghul
fix: mark as completed button follows the current term fixes #124,2026-07-16,,,Author: raaghul
naive attempt at providing ma1301 as default mod fixes #125,2026-07-15,,,Author: raaghul
Merge pull request #123 from Raaghulk04/UI,2026-07-11,,,Author: Raaghul K
feat: updated the logic behind module,2026-07-11,,,Author: kran-ji
Merge remote-tracking branch 'origin' into UI,2026-07-11,,,Author: kran-ji
Merge branch 'UI' of https://github.com/Raaghulk04/NusTree into UI,2026-07-11,,,Author: kran-ji
feat: distinct colours for distinct junction ndoes,2026-07-11,,,Author: raaghul
fix: fixes #122,2026-07-11,,,Author: raaghul
feat: abstracted out focus mode into it's own file,2026-07-11,,,Author: raaghul
fix: got rid of unecessary horizontal scroll,2026-07-08,,,Author: raaghul
Merge pull request #121 from Raaghulk04/UI,2026-07-08,,,Author: Raaghul K
feat: final implementation of state-dependent context menu,2026-07-08,,,Author: raaghul
fix: initial implementation to give each node its own unique context menu depending on its state,2026-07-08,,,Author: raaghul
fix: i forgot what this was about,2026-07-07,,,Author: raaghul
feat: Updated color on invalid,2026-07-07,,,Author: kran-ji
"feat: added ""time"" factor into graph",2026-07-07,,,Author: kran-ji
chore: delete trash,2026-07-07,,,Author: kran-ji
feat: Initial attempt on focus Mode,2026-07-05,,,Author: raaghul
fix: seperated and optimized ghost edges and solid edges logic,2026-07-02,,,Author: raaghul
fix: makes the purple asterisk brighter,2026-07-01,,,Author: raaghul
fix: consistent node style with its state,2026-07-01,,,Author: raaghul
feat: fully incorporated nusMods logo,2026-06-30,,,Author: raaghul
feat: added the new asterisk marker in the legend,2026-06-30,,,Author: raaghul
feat: added a purple asterisk to indicate compulsory modules,2026-06-30,,,Author: raaghul
fix: refactored sidebar search for new inGraph fixes #114,2026-06-30,,,Author: raaghul
feat: added NusMods link in the node menu fixes #112,2026-06-30,,,Author: raaghul
feat:Added a fake NusMods logo,2026-06-29,,,Author: raaghul
fix: only modules within one depth light up fixes #111,2026-06-29,,,Author: raaghul
Merge pull request #110 from Raaghulk04/planner,2026-06-28,,,Author: Raaghul K
Merge pull request #109 from Raaghulk04/main,2026-06-28,,,Author: Raaghul K
Merge branch 'planner' into main,2026-06-28,,,Author: Raaghul K
Merge pull request #108 from Raaghulk04/unit-testing,2026-06-28,,,Author: Raaghul K
test module tracker planner CRUD,2026-06-28,,,Author: kran-ji
enhancement: semester timeline is a different card now #104,2026-06-28,,,Author: kran-ji
enhancement: #103,2026-06-27,,,Author: kran-ji
feat: added remove button #106,2026-06-27,,,Author: kran-ji
Enforce degree preset limit,2026-06-27,,,Author: kran-ji
refractor: degree preset naming,2026-06-22,,,Author: kran-ji
feat: test cases for isPreclusion,2026-06-23,,,Author: raaghul
feat: test cases for layout utils,2026-06-23,,,Author: raaghul
feat: test cases for findEdgeType,2026-06-23,,,Author: raaghul
feat: testcases for buildTree done,2026-06-23,,,Author: raaghul
feat: written test cases for navbar and completed unit testing for authentication,2026-06-23,,,Author: raaghul
chore: Set devOptional in lockfile; adjust Vitest globals,2026-06-22,,,Author: kran-ji
